         24794591 function calls (24687411 primitive calls) in 23.305 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   404616    0.038    0.000    0.038    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\numpy\core\fromnumeric.py:3380(_mean_dispatcher)
    70373    0.037    0.000    0.112    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\contextlib.py:299(helper)
   364167    0.037    0.000    0.037    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\numpy\core\multiarray.py:1080(copyto)
   141884    0.036    0.000    0.046    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\pandas\core\dtypes\generic.py:37(_check)
    35237    0.034    0.000    0.061    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\pandas\core\frame.py:4626(_get_item_cache)
   141884    0.033    0.000    0.079    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\pandas\core\dtypes\generic.py:42(_instancecheck)
    70373    0.032    0.000    0.103    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\contextlib.py:132(__enter__)
   299543    0.031    0.000    0.031    0.000 {built-in method builtins.hash}
    70415    0.031    0.000    0.031    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    35184    0.031    0.000    0.087    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\pandas\core\indexing.py:1667(_validate_integer)
    88347    0.031    0.000    0.031    0.000 {method 'copy' of 'numpy.ndarray' objects}
    35184    0.030    0.000    0.244    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\numpy\core\fromnumeric.py:2814(amax)
    35192    0.030    0.000    0.449    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\landlab\graph\structured_quad\structured_quad.py:516(nodes_at_link)
    17597    0.029    0.000    0.037    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\numpy\core\numeric.py:136(ones)
        2    0.028    0.014    0.028    0.014 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\pandas\core\tools\datetimes.py:456(_array_strptime_with_fallback)
   228884    0.028    0.000    0.028    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\xarray\core\dataarray.py:690(variable)
   264166    0.027    0.000    0.027    0.000 {method 'pop' of 'dict' objects}
        5    0.027    0.005    0.028    0.006 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\pandas\io\parsers\c_parser_wrapper.py:222(read)
